Descrição da Taxa;Dias Úteis;Dias Corridos;Preço/Taxa
DI x pré;2582;3767;14,18
DI x pré;2613;3814;14,18
DI x pré;2672;3900;14,18
DI x pré;2713;3960;14,18
DI x pré;2737;3994;14,18
DI x pré;2799;4085;14,18
DI x pré;2831;4134;14,18
DI x pré;2861;4176;14,17
DI x pré;2922;4267;14,17
DI x pré;2960;4320;14,16
DI x pré;2986;4358;14,16
DI x pré;3048;4450;14,15
DI x pré;3082;4498;14,15
DI x pré;3113;4541;14,14
DI x pré;3173;4631;14,14
DI x pré;3207;4680;14,14
DI x pré;3237;4722;14,14
DI x pré;3300;4815;14,13
DI x pré;3333;4862;14,13
DI x pré;3363;4906;14,13
DI x pré;3425;4996;14,13
DI x pré;3456;5040;14,13
DI x pré;3490;5088;14,13
DI x pré;3553;5181;14,12
DI x pré;3583;5228;14,12
DI x pré;3615;5272;14,12
DI x pré;3674;5361;14,12
DI x pré;3701;5401;14,12
DI x pré;3739;5453;14,12
DI x pré;3805;5548;14,12
DI x pré;3828;5580;14,12
DI x pré;3867;5641;14,11
DI x pré;3925;5726;14,11
DI x pré;3990;5818;14,11
DI x pré;4056;5912;14,11
DI x pré;4116;6003;14,11
DI x pré;4177;6091;14,11
DI x pré;4242;6185;14,10
DI x pré;4304;6276;14,10
DI x pré;4366;6367;14,10
DI x pré;4427;6458;14,10
DI x pré;4491;6549;14,10
DI x pré;4554;6642;14,10
DI x pré;4619;6733;14,10
DI x pré;4677;6822;14,10
DI x pré;4742;6914;14,09
DI x pré;4865;7098;14,09
DI x pré;4934;7200;14,09
DI x pré;4991;7279;14,09
DI x pré;5116;7463;14,09
DI x pré;5240;7644;14,09
DI x pré;5368;7832;14,08
DI x pré;5492;8012;14,08
DI x pré;5616;8194;14,08
DI x pré;5741;8376;14,08
DI x pré;5868;8559;14,08
DI x pré;5992;8740;14,08
DI x pré;6169;9000;14,07
DI x pré;7181;10476;14,06
DI x pré;7405;10800;14,06
DI x pré;8498;12394;14,05
